iter	Logloss
0	0.5802457687
1	0.5126029188
2	0.4668689713
3	0.4383350305
4	0.4191876919
5	0.4063746594
6	0.3964067301
7	0.3894073755
8	0.3843687743
9	0.3804800407
10	0.3777284089
11	0.3750863955
12	0.3729655619
13	0.3715106912
14	0.370080316
15	0.368687304
16	0.3667037177
17	0.3655242779
18	0.3643759425
19	0.3636118418
20	0.3624990515
21	0.3615348273
22	0.3607586034
23	0.3593808261
24	0.3587916224
25	0.3576551457
26	0.356829036
27	0.356270913
28	0.3555607263
29	0.3548179099
30	0.354213958
31	0.3537036763
32	0.3529302792
33	0.3523158308
34	0.351827718
35	0.3511415453
36	0.3506029334
37	0.3500679643
38	0.3494250719
39	0.349030813
40	0.3485871278
41	0.3476768668
42	0.3470601557
43	0.3467146478
44	0.3463271309
45	0.3458123416
46	0.3453805433
47	0.3449405878
48	0.3443065102
49	0.3438527436
50	0.3434115846
51	0.3430735832
52	0.3424078352
53	0.3419925167
54	0.3413222919
55	0.3409007979
56	0.3403727923
57	0.3400181233
58	0.3397155824
59	0.3391842348
60	0.3388426631
61	0.3383165197
62	0.3379288828
63	0.3373833508
64	0.3370198007
65	0.3367005421
66	0.3364829724
67	0.3360976548
68	0.3356813455
69	0.3354043919
70	0.3350450101
71	0.3347603626
72	0.334425021
73	0.3341412078
74	0.3337246528
75	0.3332903185
76	0.3330460831
77	0.3327844054
78	0.3323400109
79	0.3320430503
80	0.3317872991
81	0.3313781364
82	0.331031103
83	0.3307340582
84	0.330305165
85	0.3300564176
86	0.3297926788
87	0.3295358221
88	0.3291978235
89	0.3287123612
90	0.328364487
91	0.3281709542
92	0.3275303005
93	0.3272395462
94	0.3269324115
95	0.3266281418
96	0.3262492572
97	0.3259633781
98	0.3257239
99	0.3254890994
100	0.3253204295
101	0.3249316131
102	0.3244641139
103	0.3241202652
104	0.3238714064
105	0.3235461763
106	0.3232284571
107	0.3229594164
108	0.32264145
109	0.3223925
110	0.3220956494
111	0.3216928933
112	0.3213834804
113	0.3210549059
114	0.3208149823
115	0.320528542
116	0.3202147277
117	0.319902619
118	0.3195273675
119	0.3193037819
120	0.3191122216
121	0.3188908492
122	0.318675995
123	0.3184303645
124	0.3180620359
125	0.3177600763
126	0.3174730455
127	0.3172027401
128	0.3168979187
129	0.3165838823
130	0.3162554035
131	0.3160459872
132	0.3158941345
133	0.3156696215
134	0.3154304693
135	0.315097548
136	0.3147915766
137	0.3145053645
138	0.3142951687
139	0.3140019871
140	0.3136845956
141	0.3134908529
142	0.3132004084
143	0.3129421705
144	0.3127651204
145	0.312467367
146	0.3121776424
147	0.3118648462
148	0.3114991446
149	0.3112070163
150	0.3110364125
151	0.3108480392
152	0.3105495191
153	0.3101764001
154	0.3099680812
155	0.3097132939
156	0.3093572281
157	0.3091505874
158	0.3089022554
159	0.308703892
160	0.3084372375
161	0.3081271395
162	0.307872195
163	0.307647036
164	0.3074351174
165	0.3071637137
166	0.3069236969
167	0.3067058809
168	0.3065099967
169	0.3062249701
170	0.3059253545
171	0.3056254022
172	0.3053600072
173	0.3052738968
174	0.3049752133
175	0.304753444
176	0.3045061113
177	0.3043382605
178	0.3041529615
179	0.3038641613
180	0.3035262303
181	0.3032710331
182	0.3031195879
183	0.3028749027
184	0.302637908
185	0.3023485178
186	0.3021996217
187	0.3019892262
188	0.301644816
189	0.3014921118
190	0.3012834134
191	0.3010682931
192	0.3008602468
193	0.300658022
194	0.3004940928
195	0.3002024111
196	0.299865149
197	0.2996014007
198	0.2993895806
199	0.2991343118
200	0.2989765271
201	0.2986888938
202	0.2985271147
203	0.2983952231
204	0.2981830686
205	0.2979746701
206	0.2977137002
207	0.2975243469
208	0.2971779357
209	0.2969765841
210	0.2968208718
211	0.2965789762
212	0.2963715516
213	0.2959999219
214	0.2959256748
215	0.2956587183
216	0.295438246
217	0.2952245223
218	0.2950077652
219	0.2948352766
220	0.2946367209
221	0.2943664894
222	0.2940810716
223	0.2938833863
224	0.2936715509
225	0.2933576701
226	0.2931257629
227	0.2928353571
228	0.2926733987
229	0.2923003842
230	0.292055874
231	0.2919017884
232	0.2917012675
233	0.2915229967
234	0.2914022025
235	0.2911764659
236	0.290897778
237	0.2906387515
238	0.290339503
239	0.2900034664
240	0.2897948237
241	0.2894449717
242	0.289205328
243	0.2889827995
244	0.2887811331
245	0.2885095589
246	0.2883234631
247	0.2880958621
248	0.2878646769
249	0.2877461311
250	0.2875470118
251	0.2874155734
252	0.2870603826
253	0.2868378279
254	0.2866912657
255	0.2863650324
256	0.2860766141
257	0.2857761174
258	0.285563061
259	0.2854098243
260	0.2851887664
261	0.2849426058
262	0.2846993377
263	0.2844267141
264	0.2842222002
265	0.2840414961
266	0.2838378167
267	0.2836191932
268	0.2834236653
269	0.2833781005
270	0.2831672605
271	0.2830144404
272	0.2827540776
273	0.2825337075
274	0.2823782389
275	0.2822294866
276	0.2820522094
277	0.2818286324
278	0.2817141172
279	0.2814627194
280	0.2812427454
281	0.2810738594
282	0.2808561018
283	0.2806587366
284	0.280311842
285	0.2800997005
286	0.2798693773
287	0.2796729279
288	0.2793727453
289	0.2791553486
290	0.2789787585
291	0.2788283332
292	0.2786042004
293	0.2784300947
294	0.2782257087
295	0.2781224086
296	0.2779248236
297	0.2777618567
298	0.2776822996
299	0.2774909526
300	0.2773317015
301	0.2771817852
302	0.2770217306
303	0.2768147007
304	0.276597423
305	0.2764326189
306	0.2762062678
307	0.2760428791
308	0.2758260045
309	0.2756191537
310	0.2754395778
311	0.2752197036
312	0.2749937955
313	0.2748330022
314	0.2747248921
315	0.2745585692
316	0.2743299439
317	0.2741642111
318	0.273986801
319	0.2738115214
320	0.2735968435
321	0.2733611297
322	0.2732080381
323	0.2730154808
324	0.2728077737
325	0.2725730183
326	0.2724566282
327	0.2722922573
328	0.2721602119
329	0.2719906114
330	0.2717943538
331	0.2716510826
332	0.2714991346
333	0.2713339919
334	0.2711503189
335	0.2709274743
336	0.2707459172
337	0.2705825299
338	0.2704096392
339	0.2702866762
340	0.2701575586
341	0.2700161539
342	0.2697786214
343	0.2695708801
344	0.2693522303
345	0.2691310544
346	0.2689957717
347	0.2688025692
348	0.2685839423
349	0.2684659004
350	0.2682181478
351	0.2680382421
352	0.2679656055
353	0.2677126853
354	0.2675229556
355	0.267364326
356	0.2672959176
357	0.2670696356
358	0.2669303451
359	0.2667088412
360	0.2665212086
361	0.2663157969
362	0.2660918529
363	0.265861198
364	0.2656284589
365	0.2654310804
366	0.2651348359
367	0.2649117752
368	0.2647072384
369	0.2644756997
370	0.2643383303
371	0.2641677463
372	0.2640368124
373	0.2638464254
374	0.2636526535
375	0.2633980902
376	0.263229334
377	0.2629859321
378	0.2627069354
379	0.2625869492
380	0.2624144042
381	0.262239031
382	0.2620400575
383	0.2618104253
384	0.2616763286
385	0.2615678266
386	0.261330978
387	0.2612387381
388	0.2610445753
389	0.2608305
390	0.260710133
391	0.260455857
392	0.2602521233
393	0.2601549892
394	0.2599137529
395	0.2597719481
396	0.2596142843
397	0.2594352945
398	0.2592942484
399	0.2591008207
400	0.2589861696
401	0.2588322751
402	0.2586280483
403	0.2584663421
404	0.2580977075
405	0.2578978163
406	0.2577492558
407	0.2574277113
408	0.2572739996
409	0.2570985397
410	0.2569274334
411	0.2568194726
412	0.2566735093
413	0.2563802922
414	0.2562638132
415	0.2560302375
416	0.2558392727
417	0.255570457
418	0.2553914472
419	0.2552140014
420	0.2549528108
421	0.2547862402
422	0.25463504
423	0.2544790257
424	0.2543395629
425	0.2541165907
426	0.2538905378
427	0.2536352026
428	0.2534476336
429	0.2533022534
430	0.2531680622
431	0.2529101371
432	0.2527642931
433	0.252609711
434	0.2524172704
435	0.2523109779
436	0.2521301814
437	0.2519907282
438	0.2517726671
439	0.2516566564
440	0.2514854361
441	0.2513146849
442	0.2511728882
443	0.2509543742
444	0.2508257481
445	0.2506473329
446	0.2505024493
447	0.2503243711
448	0.2501315971
449	0.2500433993
450	0.2498632954
451	0.2497334259
452	0.2495299519
453	0.2494528109
454	0.2492890927
455	0.2491271335
456	0.2489956866
457	0.2489314008
458	0.248735626
459	0.2485119116
460	0.2483690745
461	0.2482024193
462	0.2479495326
463	0.247739343
464	0.2475762997
465	0.2474042948
466	0.2472164442
467	0.2471018486
468	0.2470116677
469	0.2468557492
470	0.24669216
471	0.2465354227
472	0.2463520788
473	0.2462082191
474	0.246062069
475	0.2459042771
476	0.245684831
477	0.2455579632
478	0.2454581932
479	0.2453494513
480	0.245128925
481	0.2450139756
482	0.2448036662
483	0.2445547354
484	0.2443820096
485	0.2442112077
486	0.2440947444
487	0.2438721955
488	0.2436826163
489	0.2435043413
490	0.2433045013
491	0.2431775638
492	0.2430705065
493	0.2430408782
494	0.2428689306
495	0.242648937
496	0.2424712696
497	0.242377334
498	0.2421835697
499	0.2420368594
500	0.2418947588
501	0.2417606978
502	0.2416111071
503	0.2414581472
504	0.2413316624
505	0.2411742232
506	0.2410547049
507	0.2409700548
508	0.240766861
509	0.2406420123
510	0.2404344653
511	0.2402744807
512	0.2401871999
513	0.2400175299
514	0.2398691362
515	0.2397848135
516	0.2396327717
517	0.239388542
518	0.2393011637
519	0.2390720096
520	0.2388804459
521	0.2386891672
522	0.2386044771
523	0.2384677398
524	0.238295752
525	0.2380695496
526	0.2379392924
527	0.2377770263
528	0.2376758489
529	0.2375741852
530	0.2373681053
531	0.2371729709
532	0.2369996205
533	0.2368350499
534	0.236640124
535	0.2364597952
536	0.236357359
537	0.2360560231
538	0.2359019083
539	0.2358160749
540	0.2356430688
541	0.2354581613
542	0.2352661166
543	0.2351047904
544	0.234949006
545	0.2348223868
546	0.2346908271
547	0.2345780278
548	0.2344148667
549	0.2342649009
550	0.2340907094
551	0.2339456317
552	0.2337950281
553	0.2336292037
554	0.2335376929
555	0.2333900284
556	0.2332107418
557	0.2330722911
558	0.2328862009
559	0.2327344043
560	0.2325995913
561	0.2323842727
562	0.2323220043
563	0.2321429047
564	0.2319737697
565	0.2318350928
566	0.2316641332
567	0.2316006241
568	0.2314962334
569	0.2313778568
570	0.2312661559
571	0.2311256018
572	0.2310177014
573	0.2309065225
574	0.2307757976
575	0.2306633507
576	0.2305454899
577	0.2303844108
578	0.2302933541
579	0.2301470077
580	0.2300412346
581	0.2299541879
582	0.2297459425
583	0.2295835049
584	0.2294214977
585	0.2293447229
586	0.229175024
587	0.2290954382
588	0.2289371253
589	0.2287734282
590	0.2287026534
591	0.2285583216
592	0.2283519382
593	0.2282221635
594	0.2279810073
595	0.227843731
596	0.2277114268
597	0.2275541418
598	0.2274189528
599	0.227354957
600	0.2272418984
601	0.2271041265
602	0.2269317997
603	0.2267893297
604	0.2266525431
605	0.2265352387
606	0.2263315004
607	0.2262161812
608	0.2260940382
609	0.2259799097
610	0.2258167548
611	0.225744386
612	0.225610358
613	0.2255265331
614	0.2254453819
615	0.2252636265
616	0.2251174559
617	0.2249994179
618	0.2248672646
619	0.2247300811
620	0.2245827638
621	0.2245209964
622	0.2244133496
623	0.2243282559
624	0.2241186358
625	0.2240549368
626	0.2238939805
627	0.2237825454
628	0.2236481667
629	0.2234371175
630	0.2233213639
631	0.2231803137
632	0.2229965095
633	0.2228465962
634	0.2226701849
635	0.2225608698
636	0.2223859582
637	0.2222516554
