iter	Passed	Remaining
399	31447	47171
400	31551	47130
401	31640	47066
402	31729	47004
403	31807	46924
404	31881	46837
405	31951	46746
406	32014	46644
407	32080	46547
408	32144	46448
409	32223	46370
410	32317	46314
411	32413	46260
412	32491	46180
413	32584	46121
414	32666	46047
415	32745	45970
416	32827	45895
417	32915	45829
418	32986	45740
419	33081	45684
420	33180	45633
421	33253	45546
422	33348	45489
423	33434	45420
424	33516	45346
425	33610	45287
426	33700	45223
427	33783	45150
428	33886	45102
429	34009	45081
430	34107	45028
431	34202	44969
432	34281	44890
433	34372	44826
434	34459	44757
435	34544	44685
436	34633	44619
437	34698	44522
438	34765	44426
439	34822	44319
440	34922	44266
441	35021	44213
442	35120	44158
443	35217	44101
444	35309	44038
445	35394	43964
446	35480	43894
447	35578	43837
448	35666	43768
449	35735	43676
450	35805	43585
451	35869	43487
452	35934	43391
453	36001	43296
454	36084	43222
455	36184	43167
456	36283	43110
457	36377	43049
458	36466	42980
459	36558	42916
460	36649	42850
461	36733	42776
462	36817	42702
463	36887	42611
464	36954	42517
465	37019	42421
466	37077	42317
467	37145	42225
468	37236	42158
469	37338	42105
470	37443	42053
471	37531	41984
472	37630	41926
473	37718	41856
474	37799	41777
475	37881	41701
476	37987	41651
477	38070	41574
478	38180	41528
479	38278	41468
480	38368	41399
481	38459	41331
482	38550	41264
483	38649	41205
484	38738	41135
485	38805	41041
486	38872	40947
487	38932	40847
488	38997	40751
489	39057	40651
490	39120	40554
491	39181	40455
492	39242	40357
493	39299	40254
494	39365	40161
495	39434	40070
496	39524	40001
497	39623	39942
498	39723	39883
499	39811	39811
500	39897	39738
501	39983	39665
502	40089	39611
503	40189	39551
504	40280	39483
505	40366	39408
506	40450	39334
507	40536	39259
508	40634	39197
509	40721	39124
510	40791	39035
511	40860	38945
512	40936	38861
513	41003	38770
514	41068	38676
515	41138	38587
516	41212	38501
517	41285	38416
518	41354	38326
519	41437	38249
520	41568	38217
521	41695	38180
522	41800	38124
523	41911	38072
524	42012	38011
525	42117	37953
526	42214	37888
527	42290	37805
528	42363	37718
529	42434	37630
530	42507	37544
531	42576	37454
532	42639	37359
533	42711	37272
534	42826	37222
535	42946	37177
536	43066	37131
537	43169	37071
538	43284	37021
539	43389	36961
540	43523	36926
541	43610	36851
542	43688	36769
543	43767	36687
544	43876	36630
545	43997	36584
546	44119	36537
547	44231	36483
548	44352	36434
549	44484	36396
550	44604	36347
551	44684	36265
552	44754	36175
553	44832	36092
554	44902	36002
555	44971	35912
556	45044	35825
557	45120	35740
558	45194	35654
559	45264	35565
560	45343	35482
561	45424	35401
562	45509	35324
563	45601	35252
564	45677	35167
565	45753	35082
566	45830	34999
567	45907	34915
568	45980	34828
569	46059	34746
570	46134	34661
571	46218	34582
572	46298	34501
573	46376	34418
574	46457	34337
575	46538	34257
576	46615	34173
577	46687	34086
578	46757	33998
579	46822	33905
580	46892	33817
